,CollegeCode,College,Department,Area
1,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
2,EDG,Education,Education Administration,Education
3,ENG,Engineering,Mechanical Engineering,Mechanical Eng.
4,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
5,EDG,Education,Education Administration,Education
6,ENG,Engineering,Mechanical Engineering,Mechanical Eng.
7,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
8,HAG,Hancher,Hancher Administration,Hancher
9,BUG,Business,Business Administration,Business
10,LWG,Law,Law Foundation,Law Foundation
11,HAG,Hancher,Hancher Administration,Hancher
12,LWG,Law,Law Foundation,Law Foundation
13,LAG,Liberal Arts & Sciences,Journalism,Journalism
14,NUG,Nursing,Nursing Administration,Nursing General
15,MEG,Medicine,Pediatrics,Pediatrics
16,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
17,EDG,Education,Education Administration,Education
18,EDG,Education,Education Administration,Education
19,SAG,Student Aid,Student Aid General Admin,Student Aid
20,LAG,Liberal Arts & Sciences,Literary Arts,Nonfiction Writing
21,LAG,Liberal Arts & Sciences,Music,Music
22,LAG,Liberal Arts & Sciences,Music,Music
23,LAG,Liberal Arts & Sciences,Literary Arts,Nonfiction Writing
24,EDG,Education,Education Administration,REACH
25,MEG,Medicine,Neuroscience Institute,Neuroscience Area
26,LAG,Liberal Arts & Sciences,Music,Music
27,LAG,Liberal Arts & Sciences,Music,Music
28,LWG,Law,Law Foundation,Law Foundation
29,LWG,Law,Law Foundation,Law Foundation
30,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
31,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
32,BUG,Business,Accounting Group,Accounting
33,PQG,Public Health,Health Management and Policy,Health Management and Policy
34,SAG,Student Aid,Student Aid General Admin,Student Aid
35,SAG,Student Aid,Student Aid General Admin,Student Aid
36,MEG,Medicine,Pediatrics,Pediatrics
37,NUG,Nursing,Nursing Administration,Nursing General
38,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
39,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
40,DEG,Dentistry,Orthodontics,Orthodontics
41,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
42,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
43,DEG,Dentistry,Orthodontics,Orthodontics
44,LAG,Liberal Arts & Sciences,Literary Arts,English
45,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
46,ENG,Engineering,Civil/Environmental Engineering,Civil/Env. Eng.
47,LAG,Liberal Arts & Sciences,Music,Music
48,MEG,Medicine,Pediatrics,Pediatric Neurology
49,MEG,Medicine,Neurosurgery,Neurosurgery
50,LAG,Liberal Arts & Sciences,Psychological & Brain Sciences,Psychology
51,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
52,LAG,Liberal Arts & Sciences,Psychological & Brain Sciences,Psychology
