"College","Amount_Sum"
"Alumni Association",111783.5
"Athletics",12649457.47
"Business",7635195.18
"Campus Beautification",1e+05
"Collegiate Other",6542541.55
"Daily Iowan",10000
"Dentistry",5873607.73
"Education",267462.51
"Engineering",8052742.56
"Graduate College",4310554.38
"Hancher",1247003.45
"International",15000
"Law",3009249.8
"Liberal Arts & Sciences",15186959.82
"Medicine",27402303.67
"Museum of Art",524480.91
"Non-Collegiate Other",65532.16
"Nursing",1145069.03
"Office of Univ Student Life",666666.66
"Office of University Research",5000
"Pentacrest Museums",128789.78
"Pharmacy",671705.4
"Provost Area Accounts",10000
"Public Health",6e+05
"Student Aid",6611565.38
"UI Hospitals and Clinics",4257947
"UI Libraries",1913496.1
"UI Unrestricted",1120920.2
"University College",189725
"Unknown",103649.08
"Unrestricted",3632756.99
"WSUI/KSUI",166733.52
